,Artist,Rank,Song1,Year
686,Otis Redding,337,Sweet Lorene,1968
687,The Impalas,338,"Fool, Fool, Fool",1959
688,Lesley Gore,339,"Run Bobby, Run",1963
689,The Exciters,340,Hard Way To Go,1962
690,The Beach Boys,341,Girl Don't Tell Me,1965
691,The Union Gap Featuring Gary Puckett,342,I'm Losing You,1968
692,The Casinos,343,I Still Love You,1966
693,Four Tops,344,Sad Souvenirs,1965
694,Lobo,345,A Big Red Kite,1972
695,Shelley Fabares,346,Where's It Gonna Get Me?,1962
696,The Beatles,347,Girl,1966
697,Roberta Flack,348,Trade Winds,1972
698,The McCoys,349,I Can't Explain It,1965
699,The Crickets,350,Not Fade Away,1957
700,The Silhouettes,351,Get A Job,1957
701,Eagles,352,Hotel California,1977
702,Neil Sedaka,353,Calendar Girl,1960
703,The Clovers,354,Love Potion No. 9,1959
704,Van Morrison,355,Brown Eyed Girl,1967
705,Strawberry Alarm Clock,356,Incense And Peppermints,1967
706,Barbra Streisand,357,Somewhere,1985
707,Barry Manilow,358,Mandy,1974
708,Four Tops,359,Bernadette,1967
709,Jan And Dean,360,The Little Old Lady (From Pasadena),1964
710,Bobby Vinton,361,Blue Velvet,1963
711,Sam Cooke,362,Twistin' The Night Away,1962
712,Willows,363,Church Bells May Ring,1956
713,Frankie Ford,364,Sea Cruise,1958
714,Paul Stookey,365,Wedding Song (There Is Love),1971
715,The Supremes,366,You Can't Hurry Love,1966
716,Barbra Streisand,367,I Am Woman,1964
717,Climax,368,Precious And Few,1971
718,Cozy Cole,369,Topsy I,1958
719,The Beach Boys,370,Surfer Girl,1963
720,The Supremes,371,Stop! In The Name Of Love,1965
721,The Archies,372,"Sugar, Sugar",1969
722,The Foundations,373,Build Me Up Buttercup,1968
723,Sonny James (The Southern Gentleman),374,Young Love,1956
724,Barry Manilow,375,Can't Smile Without You,1978
725,Bruce Channel,376,Hey! Baby,1961
726,Nilsson,377,Without You,1971
727,The Six Teens,378,A Casual Look,1956
728,Ray Charles,379,I Can't Stop Loving You,1962
729,Marty Robbins,380,El Paso,1959
730,Elvis Presley,381,Marie's The Name His Latest Flame,1961
731,Dionne Warwick,382,Walk On By,1964
732,Luther Ingram,383,(If Loving You Is Wrong) I Don't Want To Be Right,1972
733,Danny And The Juniors,384,Rock And Roll Is Here To Stay,1958
734,The Everly Brothers,385,Crying In The Rain,1961
735,Laura Branigan,386,Gloria,1982
736,Unit Four Plus Two,387,Concrete And Clay,1965
737,Billy Joel,388,The Longest Time,1984
738,Gilbert O'Sullivan,389,Alone Again (Naturally),1972
739,The Flamingos,390,Golden Teardrops,1953
740,Freda Payne,391,Band Of Gold,1970
741,Debby Boone,392,You Light Up My Life,1977
742,"Elvis PresleyELVIS, Volume 1A",393,Rip It UpA,1956
743,Buddy Knox With The Rhythm Orchids,394,Party Doll,1957
744,The Beach Boys,395,"Fun, Fun, Fun",1964
745,Fats DominoFats Domino Sings,396,The Big Beat,1957
746,Harry Chapin,397,Cat's In The Cradle,1974
747,Dion,398,Lovers Who Wander,1962
748,Bobby Lewis,399,Tossin' And Turnin',1961
749,Bobby Fuller Four,400,I Fought The Law,1965
750,The Silhouettes,351,I Am Lonely,1957
751,Eagles,352,Pretty Maids All In A Row,1977
752,Neil Sedaka,353,The Same Old Fool,1960
753,The Clovers,354,Stay Awhile,1959
754,Van Morrison,355,Goodbye Baby (Baby Goodbye),1967
755,Strawberry Alarm Clock,356,The Birdman Of Alkatrash,1967
756,Barbra Streisand,357,Not While I'm Around,1985
757,Barry Manilow,358,Something's Comin' Up,1974
758,Four Tops,359,I Got A Feeling,1967
759,Jan And Dean,360,My Mighty G. T. O.,1964
760,Bobby Vinton,361,Is There A Place (Where I Can Go),1963
761,Sam Cooke,362,One More Time,1962
762,Willows,363,Baby Tell Me,1956
763,Frankie Ford,364,Roberta,1958
764,Paul Stookey,365,Give A Damn,1971
765,The Supremes,366,Put Yourself In My Place,1966
766,Barbra Streisand,367,People,1964
767,Climax,368,Park Preserve,1971
768,Cozy Cole,369,Topsy II,1958
769,The Beach Boys,370,Little Deuce Coupe,1963
770,The Supremes,371,I'm In Love Again,1965
771,The Archies,372,Melody Hill,1969
772,The Foundations,373,New Direction,1968
773,Sonny James (The Southern Gentleman),374,You're The Reason I'm In Love,1956
774,Barry Manilow,375,Sunrise,1978
775,Bruce Channel,376,Dream Girl,1961
776,Nilsson,377,Gotta Get Up,1971
777,The Six Teens,378,Teen Age Promise,1956
778,Ray Charles,379,Born To Lose,1962
779,Marty Robbins,380,Running Gun,1959
780,Elvis Presley,381,Little Sister,1961
781,Dionne Warwick,382,Any Old Time Of Day,1964
782,Luther Ingram,383,Puttin' Game Down,1972
783,Danny And The Juniors,384,School Boy Romance,1958
784,The Everly Brothers,385,I'm Not Angry,1961
785,Laura Branigan,386,Living A Lie,1982
786,Unit Four Plus Two,387,Wild As The Wind,1965
787,Billy Joel,388,Christie Lee,1984
788,Gilbert O'Sullivan,389,Save It,1972
789,The Flamingos,390,Carried Away,1953
790,Freda Payne,391,The Easiest Way To Fall,1970
791,Debby Boone,392,Hasta Mañana,1977
792,"Elvis PresleyELVIS, Volume 1A",393,Love MeB1,1956
793,Buddy Knox With The Rhythm Orchids,394,My Baby's Gone,1957
794,The Beach Boys,395,Why Do Fools Fall In Love,1964
795,Fats DominoFats Domino Sings,396,I Want You To Know,1957
796,Harry Chapin,397,Vacancy,1974
797,Dion,398,(I Was) Born To Cry,1962
798,Bobby Lewis,399,"Oh Yes, I Love You",1961
799,Bobby Fuller Four,400,Little Annie Lou,1965
800,The Chairmen Of The Board,401,Give Me Just A Little More Time,1969
801,The Moody Blues,402,Go Now!,1965
802,The 4 Seasons,403,Let's Hang On!,1965
803,Chuck Berry,404,Sweet Little Sixteen,1958
804,Carpenters,405,We've Only Just Begun,1970
805,The Beatles,406,You're Going To Lose That Girl,1965
806,Fats Domino,407,Three Nights A Week,1960
807,Dion,408,Love Came To Me,1962
808,The Crystals,409,He's A Rebel,1962
809,Gerry And The Pacemakers,410,Ferry Across The Mersey,1965
810,The Beatles,411,Can't Buy Me Love,1964
811,Beach Boys,412,Surfin' Safari,1962
812,The Five Keys,413,"Ling, Ting, Tong",1954
813,Dion,414,Ruby Baby,1962
814,"Bobby ""Boris"" Pickett And The Crypt-Kickers",415,Monster Mash,1962
815,The Beatles,416,Yellow Submarine,1966
816,The Nutmegs,417,Story Untold,1955
817,The Association,418,Never My Love,1967
818,Gogi Grant,419,The Wayward Wind,1956
819,The Beatles,420,I Want To Hold Your Hand,1964
820,Frankie Lymon And The Teenagers,421,The A.B.C's Of Love,1956
821,The Rolling Stones,422,Honky Tonk Women,1969
822,Smokey Robinson,423,Cruisin',1979
823,The Toys,424,A Lover's Concerto,1965
824,The Monkees,425,Last Train To Clarksville,1966
825,Little Eva,426,The Loco-Motion,1962
826,Bobby Helms,427,My Special Angel,1957
827,Neil Diamond,428,Solitary Man,1966
828,The Temptations,429,Just My Imagination (Running Away With Me),1971
829,Ruby And The Romantics,430,Our Day Will Come,1962
830,The Jive Five (Featuring Eugene Pitt),431,I'm A Happy Man,1965
831,The Dovells,432,Bristol Stomp,1961
832,Steppenwolf,433,Born To Be Wild,1968
833,The Earls,434,Life Is But A Dream,1961
834,The 5th Dimension,435,Medle,1969
835,The Beatles,436,A Hard Day's Night,1964
836,Neil Sedaka,437,Breaking Up Is Hard To Do,1962
837,Santo And Johnny,438,Sleep Walk,1959
838,Bobby Darin,439,Splish Splash,1958
839,Sam And Dave,440,Hold On! I'm A Comin',1966
840,The Beatles,441,All My Loving,1964
841,Gerry And The Pacemakers,442,Don't Let The Sun Catch You Crying,1964
842,Frankie Valli,443,My Eyes Adored You,1974
843,Fats Domino,444,Whole Lotta Loving,1958
844,The Students,445,I'm So Young,1958
845,The Viscounts [USA],446,Harlem Nocturne,1959
846,The Chordettes,447,Lollipop,1958
847,Elton John,448,Crocodile Rock,1972
848,The Platters,449,With This Ring,1967
849,Bobby Vee,450,Take Good Care Of My Baby,1961
850,The Chairmen Of The Board,401,Since The Days Of Pigtails (and Fairy Tales),1969
851,The Moody Blues,402,Lose Your Money,1965
852,The 4 Seasons,403,On Broadway Tonight,1965
853,Chuck Berry,404,Reelin And Rocking,1958
854,Carpenters,405,All Of My Life,1970
855,The Beatles,406,Tell Me What You See,1965
856,Fats Domino,407,Put Your Arms Around Me Honey,1960
857,Dion,408,Little Girl,1962
858,The Crystals,409,I Love You Eddie,1962
859,Gerry And The Pacemakers,410,Pretend,1965
860,The Beatles,411,You Can't Do That,1964
861,Beach Boys,412,409,1962
862,The Five Keys,413,I'm Alone,1954
863,Dion,414,He'll Only Hurt You,1962
864,"Bobby ""Boris"" Pickett And The Crypt-Kickers",415,Monsters' Mash Party,1962
865,The Beatles,416,Eleanor Rigby,1966
866,The Nutmegs,417,Make Me Lose My Mind,1955
867,The Association,418,Requiem For The Masses,1967
868,Gogi Grant,419,No More Than Forever,1956
869,The Beatles,420,I Saw Her Standing There,1964
870,Frankie Lymon And The Teenagers,421,Share,1956
871,The Rolling Stones,422,You Can't Always Get What You Want,1969
872,Smokey Robinson,423,Ever Had A Dream,1979
873,The Toys,424,This Night,1965
874,The Monkees,425,Take A Giant Step,1966
875,Little Eva,426,He Is The Boy,1962
876,Bobby Helms,427,Standing At The End Of My World,1957
877,Neil Diamond,428,Do It,1966
878,The Temptations,429,You Make Your Own Heaven And Hell Right Here On Earth,1971
879,Ruby And The Romantics,430,Moonlight And Music,1962
880,The Jive Five (Featuring Eugene Pitt),431,"Kiss, Kiss, Kiss",1965
881,The Dovells,432,Letters Of Love,1961
882,Steppenwolf,433,Everybody's Next One,1968
883,The Earls,434,It's You,1961
884,The 5th Dimension,435,Aquarius / Let The Sunshine In (The Flesh Failures)B,1969
885,The Beatles,436,I Should Have Known Better,1964
886,Neil Sedaka,437,As Long As I Live,1962
887,Santo And Johnny,438,All Night Diner,1959
888,Bobby Darin,439,"Judy, Don't Be Moody",1958
889,Sam And Dave,440,I Got Everything I Need,1966
890,The Beatles,441,This Boy,1964
891,Gerry And The Pacemakers,442,Away From You,1964
892,Frankie Valli,443,Watch Where You Walk,1974
893,Fats Domino,444,Coquette,1958
894,The Students,445,Everyday Of The Week,1958
895,The Viscounts [USA],446,Dig,1959
896,The Chordettes,447,"Baby, Come-A Back-A",1958
897,Elton John,448,Elderberry Wine,1972
898,The Platters,449,If I Had A Love,1967
899,Bobby Vee,450,Bashful Bob,1961
900,The Crickets,451,Maybe Baby,1958
901,The Music Explosion,452,I See The Light,1967
902,Zager And Evans,453,In The Year 2525 (Exordium & Terminus),1969
903,Badfinger,454,No Matter What,1970
904,Carole King,455,It's Too Late,1971
905,The Angels,456,My Boyfriend's Back,1963
906,The Cadillacs,457,The Girl I Love,1956
907,The Beach Boys,458,Be True To Your School,1963
908,The Cleftones,459,For Sentimental Reasons,1961
909,The Chiffons,460,He's So Fine,1963
910,The Coasters,461,Charlie Brown,1959
911,Dawn Featuring Tony Orlando,462,Tie A Yellow Ribbon Round The Ole Oak Tree,1973
912,Manfred Mann,463,Do Wah Diddy Diddy,1964
913,The Bobbettes,464,Mr. Lee,1957
914,The Castells,465,So This Is Love,1962
915,The Hollies,466,Long Cool Woman (In A Black Dress),1972
916,The Brooklyn Bridge,467,Blessed Is The Rain,1969
917,Bobby Freeman,468,Do You Want To Dance,1958
918,Barbra Streisand,469,The Way We Were,1973
919,USA For Africa,470,We Are The WorldQuincy Jones,1985
920,Sam Cooke,471,Bring It On Home To Me,1962
921,Todd Rundgren,472,Hello It's Me,1972
922,The Lovin' Spoonful,473,Do You Believe In Magic,1965
923,Looking Glass,474,Brandy (You're A Fine Girl),1972
924,The Four Seasons,475,"December, 1963 (Oh, What A Night)",1975
925,Frankie Lymon,476,Goody Goody,1957
926,The Beach Boys,477,I Get Around,1964
927,The Beatles,478,I Feel Fine,1964
928,Ernie K-Doe,479,Mother-In-Law,1961
929,The Searchers,480,Needles And Pins,1964
930,Jay And The Americans,481,Only In America,1963
931,The Dreamlovers,482,When We Get Married,1961
932,The Miracles,483,Ooo Baby Baby,1965
933,The Rolling Stones,484,Brown Sugar,1971
934,James Brown And The Famous Flames,485,I Got You (I Feel Good),1965
935,Soul Survivors,486,Expressway To Your Heart,1967
936,Bo Diddley,487,Bo Diddley,1955
937,The Young Rascals,488,Good Lovin',1966
938,The Troggs,489,Wild Thing,1966
939,The Grass Roots,490,Let's Live For Today,1967
940,Bob Dylan,491,Positively 4th Street,1965
941,The 4 Seasons,492,C'mon Marianne,1967
942,Little Anthony And The Imperials,493,Goin' Out Of My Head,1964
943,The Ventures,494,Walk – Don't Run,1960
944,The Fortunes,495,You've Got Your Troubles,1965
945,The Ronettes,496,Do I Love You?,1964
946,The Chantels,497,Every Night (I Pray),1958
947,Eddie Cochran,498,C'mon Everybody,1958
948,Ray Charles,499,Georgia On My Mind,1960
949,Bobby Darin,500,Queen Of The Hop,1958
950,The Crickets,451,Tell Me How,1958
951,The Music Explosion,452,Little Bit O' Soul,1967
952,Zager And Evans,453,Little Kids,1969
953,Badfinger,454,Carry On Till Tomorrow,1970
954,Carole King,455,I Feel The Earth Move,1971
955,The Angels,456,(Love Me) Now,1963
956,The Cadillacs,457,That's All I Need,1956
957,The Beach Boys,458,In My Room,1963
958,The Cleftones,459,'Deed I Do,1961
959,The Chiffons,460,Oh My Lover,1963
960,The Coasters,461,Three Cool Cats,1959
961,Dawn Featuring Tony Orlando,462,I Can't Believe How Much I Love You,1973
962,Manfred Mann,463,What You Gonna Do?,1964
963,The Bobbettes,464,Look At The Stars,1957
964,The Castells,465,On The Street Of Tears,1962
965,The Hollies,466,Look What We've Got,1972
966,The Brooklyn Bridge,467,Welcome Me Love,1969
967,Bobby Freeman,468,Big Fat Woman,1958
968,Barbra Streisand,469,What Are You Doing The Rest Of Your Life?,1973
969,USA For Africa,470,Grace,1985
970,Sam Cooke,471,Having A Party,1962
971,Todd Rundgren,472,Cold Morning Light,1972
972,The Lovin' Spoonful,473,On The Road Again,1965
973,Looking Glass,474,One By One,1972
974,The Four Seasons,475,Slip Away,1975
975,Frankie Lymon,476,Creation Of Love,1957
976,The Beach Boys,477,Don't Worry Baby,1964
977,The Beatles,478,She's A Woman,1964
978,Ernie K-Doe,479,"Wanted, $10,000.00 Reward",1961
979,The Searchers,480,Ain't That Just Like Me,1964
980,Jay And The Americans,481,My Clair De Lune,1963
981,The Dreamlovers,482,Just Because,1961
982,The Miracles,483,All That's Good,1965
983,The Rolling Stones,484,Bitch,1971
984,James Brown And The Famous Flames,485,I Can't Help It (I Just Do-Do-Do),1965
985,Soul Survivors,486,Hey Gyp,1967
986,Bo Diddley,487,I'm A Man,1955
987,The Young Rascals,488,Mustang Sally,1966
988,The Troggs,489,With A Girl Like You,1966
989,The Grass Roots,490,Depressed Feeling,1967
990,Bob Dylan,491,From A Buick 6,1965
991,The 4 Seasons,492,Let's Ride Again,1967
992,Little Anthony And The Imperials,493,Make It Easy On Yourself,1964
993,The Ventures,494,Home,1960
994,The Fortunes,495,I've Gotta Go,1965
995,The Ronettes,496,Bebe And Susu,1964
996,The Chantels,497,Whoever You Are,1958
997,Eddie Cochran,498,Don't Ever Let Me Go,1958
998,Ray Charles,499,Carry Me Back To Old Virginny,1960
999,Bobby Darin,500,Lost Love,1958
0,The Five Satins,1,In The Still Of The Nite,1956
1,The Penguins,2,Hey Senorita,1954
2,Elvis Presley,3,My Way,1977
3,Elvis Presley,4,Can't Help Falling In Love,1961
4,The 4 Seasons,5,Rag Doll,1964
5,The Duprees,6,You Belong To Me,1962
6,"The Chimes [60s, Brooklyn]",7,Once In Awhile,1960
7,Earls,8,I Believe,1963
8,Mello-Kings,9,"Tonite, Tonite",1957
9,The Skyliners,10,Since I Don't Have You,1958
10,Elvis Presley,11,Jailhouse Rock,1957
11,The Elegants,12,Little Star,1958
12,Bobby Darin,13,Mack The Knife,1959
13,The Earls,14,Remember Then,1962
14,The Beatles,15,Hey Jude,1968
15,Elvis Presley,16,Don't Be Cruel,1956
16,Dion And The Belmonts,17,I Wonder Why,1958
17,The Platters,18,Only You (And You Alone),1955
18,The Dell-Vikings,19,Whispering Bells,1957
19,Elvis Presley,20,The Wonder Of You,1970
20,Heatwave,21,Always And Forever,1977
21,The Platters,22,My Prayer,1956
22,Jay And The Americans,23,"Cara, Mia",1965
23,Dion,24,Runaround Sue,1961
24,The Capris [New York],25,Morse Code Of Love,1982
25,The Tokens,26,The Lion Sleeps Tonight,1961
26,Brooklyn Bridge,27,Worst That Could Happen,1968
27,Bill Haley And His Comets,28,Thirteen Women (And Only One Man In Town),1954
28,The Fidelity's,29,The Things I Love,1958
29,The Ronettes,30,Be My Baby,1963
30,The Flamingos,31,I Only Have Eyes For You,1959
31,The Marcels,32,Blue Moon,1961
32,The Capris [New York],33,There's A Moon Out Tonight,1960
33,The Crests,34,16 Candles,1958
34,Elvis Presley,35,Love Me Tender,1956
35,The Righteous Brothers,36,You've Lost That Lovin' Feelin',1964
36,Ritchie Valens,37,Donna,1958
37,Dion And The Belmonts,38,A Teenager In Love,1959
38,Mary Wells,39,My Guy,1964
39,The 4 Seasons,40,Sherry,1962
40,Tommy Edwards,41,It's All In The Game,1958
41,The Classics [Brooklyn],42,Till Then,1963
42,Chuck Berry,43,Johnny B. Goode,1958
43,The Angels,44,Til,1961
44,Billy Joel,45,Just The Way You Are,1977
45,The Rolling Stones,46,(I Can't Get No) Satisfaction,1965
46,The Dell-Vikings,47,Come Go With Me,1957
47,The Temptations,48,My Girl,1964
48,The Shirelles,49,Will You Love Me Tomorrow,1960
49,The Danleers,50,One Summer Night,1958
50,The Five Satins,1,The Jones Girl,1956
51,The Penguins,2,Earth Angel,1954
52,Elvis Presley,3,America,1977
53,Elvis Presley,4,Rock-A-Hula Baby,1961
54,The 4 Seasons,5,Silence Is Golden,1964
55,The Duprees,6,Take Me As I Am,1962
56,"The Chimes [60s, Brooklyn]",7,Summer Night,1960
57,Earls,8,Don't Forget,1963
58,Mello-Kings,9,Do Baby Do,1957
59,The Skyliners,10,"One Night, One Night",1958
60,Elvis Presley,11,Treat Me Nice,1957
61,The Elegants,12,Getting Dizzy,1958
62,Bobby Darin,13,Was There A Call For Me,1959
63,The Earls,14,Let's Waddle,1962
64,The Beatles,15,Revolution,1968
65,Elvis Presley,16,Hound Dog,1956
66,Dion And The Belmonts,17,Teen Angel,1958
67,The Platters,18,"Bark, Battle And Ball",1955
68,The Dell-Vikings,19,Don't Be A Fool,1957
69,Elvis Presley,20,Mama Liked The Roses,1970
70,Heatwave,21,Super Soul Sister,1977
71,The Platters,22,Heaven On Earth,1956
72,Jay And The Americans,23,When It's All Over,1965
73,Dion,24,Runaway Girl,1961
74,The Capris [New York],25,There's A Moon Out Again,1982
75,The Tokens,26,Tina,1961
76,Brooklyn Bridge,27,"Your Kite, My Kite.",1968
77,Bill Haley And His Comets,28,(We're Gonna) Rock Around The Clock,1954
78,The Fidelity's,29,Hold On To What'Cha Got (And Get One More),1958
79,The Ronettes,30,Tedesco And Pitman,1963
80,The Flamingos,31,Goodnight Sweetheart,1959
81,The Marcels,32,Goodbye To Love,1961
82,The Capris [New York],33,Indian Girl,1960
83,The Crests,34,Beside You,1958
84,Elvis Presley,35,Anyway You Want Me (That's How I'll Be),1956
85,The Righteous Brothers,36,There's A Woman,1964
86,Ritchie Valens,37,La Bamba,1958
87,Dion And The Belmonts,38,I've Cried Before,1959
88,Mary Wells,39,Oh Little Boy (What Did You Do To Me),1964
89,The 4 Seasons,40,I've Cried Before,1962
90,Tommy Edwards,41,Please Love Me Forever,1958
91,The Classics [Brooklyn],42,Enie Minie Mo,1963
92,Chuck Berry,43,Around And Around,1958
93,The Angels,44,A Moment Ago,1961
94,Billy Joel,45,Get It Right The First Time,1977
95,The Rolling Stones,46,The Under Assistant West Coast Promotion Man,1965
96,The Dell-Vikings,47,How Can I Find True Love,1957
97,The Temptations,48,(Talking 'Bout) Nobody But My Baby,1964
98,The Shirelles,49,Boys,1960
99,The Danleers,50,Wheelin' And A-Dealin',1958
100,The Rays,51,Silhouettes,1957
101,The Isley Brothers,52,Shout - Part 1,1959
102,Ben E. King,53,Stand By Me,1961
103,Don McLean,54,American Pie - Part I,1971
104,The Chantels,55,Maybe,1957
105,Percy Faith And His Orchestra,56,"The Theme From ""A Summer Place""",1959
106,Elvis Presley With The Jordanaires,57,Are You Lonesome To-night?,1960
107,The Platters,58,Smoke Gets In Your Eyes,1958
108,The Dubs,59,Could This Be Magic,1957
109,Peaches And Herb,60,We're In This Thing Together,1966
110,Elvis Presley,61,Suspicious Minds,1969
111,Dion,62,The Wanderer,1961
112,Johnny Ace,63,Pledging My Love,1954
113,The Beatles,64,Yesterday,1965
114,Del Shannon,65,Runaway,1961
115,Roy Orbison And The Candy Men,66,Pretty Woman,1964
116,The Diamonds,67,Little Darlin',1957
117,Chubby Checker,68,The Twist,1961
118,The Excellents,69,Coney Island Baby,1962
119,The Passions,70,Just To Be With You,1959
120,The Turtles,71,Happy Together,1967
121,Billy Ward And His Dominoes,72,Star Dust,1957
122,Frank Sinatra,73,"Theme From New York, New York",1980
123,Gene Chandler,74,Duke Of Earl,1961
124,Dion And The Belmonts,75,Where Or When,1959
125,The Earls,76,Never,1963
126,The Skyliners,77,This I Swear,1959
127,The Aquatones,78,She's The One For Me,1958
128,The 4 Seasons,79,Dawn (Go Away),1964
129,The Drifters,80,Up On The Roof,1962
130,The Teenagers Featuring Frankie Lymon,81,Why Do Fools Fall In Love,1955
131,Led Zeppelin,82,Stairway To Heaven [Mono],1972
132,Frank Sinatra,83,My Way,1969
133,The Righteous Brothers,84,Hung On You,1965
134,Roy Orbison,85,Crying,1961
135,Danny And The Juniors,86,At The Hop,1957
136,Eddie Cochran,87,Summertime Blues,1958
137,Billy Joel,88,The Longest Time,1984
138,Johnny Mathis,89,Chances Are,1957
139,The Platters,90,The Great Pretender,1955
140,Randy And The Rainbows,91,Denise,1963
141,The Charts,92,Deserie,1957
142,Elvis Presley,93,"I Want You, I Need You, I Love You",1956
143,The Contours,94,Do You Love Me,1962
144,Tommy James And The Shondells,95,Crystal Blue Persuasion,1969
145,Elvis Presley With The Jordanaires,96,Loving You,1957
146,Aretha Franklin,97,Respect,1967
147,Safaris,98,Image Of A Girl,1960
148,John Lennon / Plastic Ono Band,99,Imagine,1971
149,The Beatles,100,She Loves You,1964
150,The Rays,51,Daddy Cool,1957
151,The Isley Brothers,52,Shout - Part 2,1959
152,Ben E. King,53,On The Horizon,1961
153,Don McLean,54,American Pie - Part II,1971
154,The Chantels,55,Come My Little Baby,1957
155,Percy Faith And His Orchestra,56,Go-Go-Po-Go,1959
156,Elvis Presley With The Jordanaires,57,I Gotta Know,1960
157,The Platters,58,No Matter What You Are,1958
158,The Dubs,59,Such Lovin',1957
159,Peaches And Herb,60,Let's Fall In Love,1966
160,Elvis Presley,61,You'll Think Of Me,1969
161,Dion,62,The Majestic,1961
162,Johnny Ace,63,No Money,1954
163,The Beatles,64,Act Naturally,1965
164,Del Shannon,65,Jody,1961
165,Roy Orbison And The Candy Men,66,Yo Te Amo Maria,1964
166,The Diamonds,67,Faithful And True,1957
167,Chubby Checker,68,Twistin' U.S.A.,1961
168,The Excellents,69,You Baby You,1962
169,The Passions,70,Oh Melancholy Me,1959
170,The Turtles,71,Like The Seasons,1967
171,Billy Ward And His Dominoes,72,Lucinda,1957
172,Frank Sinatra,73,That's What God Looks Like To Me,1980
173,Gene Chandler,74,Kissin' In The Kitchen,1961
174,Dion And The Belmonts,75,That's My Desire,1959
175,The Earls,76,I Keep A Tellin' You,1963
176,The Skyliners,77,Tomorrow,1959
177,The Aquatones,78,You,1958
178,The 4 Seasons,79,No Surfin' Today,1964
179,The Drifters,80,Another Night With The Boys,1962
180,The Teenagers Featuring Frankie Lymon,81,Please Be Mine,1955
181,Led Zeppelin,82,Stairway To Heaven [Stereo],1972
182,Frank Sinatra,83,Blue Lace,1969
183,The Righteous Brothers,84,Unchained Melody,1965
184,Roy Orbison,85,Candy Man,1961
185,Danny And The Juniors,86,Sometimes (When I'm All Alone),1957
186,Eddie Cochran,87,Love Again,1958
187,Billy Joel,88,Christie Lee,1984
188,Johnny Mathis,89,The Twelfth Of Never,1957
189,The Platters,90,I'm Just A Dancing Partner,1955
190,Randy And The Rainbows,91,Come Back,1963
191,The Charts,92,Zoop,1957
192,Elvis Presley,93,My Baby Left Me,1956
193,The Contours,94,Move Mr. Man,1962
194,Tommy James And The Shondells,95,I'm Alive,1969
195,Elvis Presley With The Jordanaires,96,(Let Me Be Your) Teddy Bear,1957
196,Aretha Franklin,97,Dr. Feelgood,1967
197,Safaris,98,4 Steps To Love,1960
198,John Lennon / Plastic Ono Band,99,It's So Hard,1971
199,The Beatles,100,I'll Get You,1964
200,Lesley Gore,101,It's My Party,1963
201,Creedence Clearwater Revival,102,Proud Mary,1968
202,The Drifters,103,Under The Boardwalk,1964
203,The Cleftones,104,Heart And Soul,1961
204,The Mystics [New York],105,Hushabye,1959
205,Jerry Lee Lewis And His Pumping Piano,106,Great Balls Of Fire,1957
206,The Beatles,107,I Want To Hold Your Hand,1963
207,The Tymes,108,So Much In Love,1963
208,The Channels,109,The Closer You Are,1956
209,The Five Satins,110,To The Aisle,1957
210,The Moonglows,111,Sincerely,1954
211,The Jesters [doowop],112,The Wind,1960
212,The Heartbeats [Doo Wop],113,A Thousand Miles Away,1956
213,The Paradons,114,Diamonds And Pearls,1960
214,The Cleftones,115,Little Girl Of Mine,1956
215,Ritchie Valens,116,Donna,1958
216,The Cadillacs,117,Gloria,1954
217,Johnny Mathis,118,Chances Are,1957
218,Percy Sledge,119,When A Man Loves A Woman,1966
219,The Fireflies,120,You Were Mine,1959
220,The Beatles,121,Twist And Shout,1964
221,Lulu,122,The Boat That I Row,1967
222,Bobby Darin,123,Beyond The Sea,1960
223,Lou Christie,124,Lightnin' Strikes,1965
224,The Kingsmen,125,Louie Louie,1963
225,The Supremes,126,Baby Love,1964
226,Marvin Gaye,127,I Heard It Through The Grapevine,1968
227,Elvis Presley,128,Burning Love,1972
228,Elvis Presley,129,Hound Dog,1956
229,Bobby Darin,130,Dream Lover,1959
230,The Doors,131,Light My Fire,1967
231,Roy Orbison,132,Only The Lonely (Know The Way I Feel),1960
232,Conway Twitty,133,It's Only Make Believe,1958
233,Jay And The Americans,134,This Magic Moment,1968
234,Freddy Cannon,135,Palisades Park,1962
235,The Beach Boys,136,I Get Around,1964
236,The Beatles,137,Let It Be,1970
237,The Beach Boys,138,Good Vibrations,1966
238,Bob Seger And The Silver Bullet Band,139,Old Time Rock & RollBob Seger,1979
239,Little Peggy March,140,I Will Follow Him,1963
240,Little Eva,141,The Loco-Motion,1962
241,Sonny And Cher,142,I Got You Babe,1965
242,Jackie Wilson,143,Lonely Teardrops,1958
243,Richard Harris,144,Mac Arthur Park,1968
244,The Shirelles,145,Soldier Boy,1962
245,Rosie And The Originals,146,Angel Baby,1960
246,Martha And The Vandellas,147,Heat Wave,1963
247,Simon And Garfunkel,148,The Sounds Of Silence,1965
248,The Jive Five,149,My True Story,1961
249,Manfred Mann,150,Do Wah Diddy Diddy,1964
250,Lesley Gore,101,Danny,1963
251,Creedence Clearwater Revival,102,Born On The Bayou,1968
252,The Drifters,103,I Don't Want To Go On Without You,1964
253,The Cleftones,104,How Do You Feel,1961
254,The Mystics [New York],105,Adam And Eve,1959
255,Jerry Lee Lewis And His Pumping Piano,106,You Win Again,1957
256,The Beatles,107,I Saw Her Standing There,1963
257,The Tymes,108,Roscoe James McClain,1963
258,The Channels,109,Now You Know (I Love You So),1956
259,The Five Satins,110,Wish I Had My Baby,1957
260,The Moonglows,111,Tempting,1954
